title,code,description,fulldescription,tags,features,idealfor,image
Supreme Expansion Boards / Insu-reflector / Insu-shield / Insu-board,CD-P01,Expansion and insulation boards,"High-performance expansion joint boards and reflective insulation products designed to accommodate structural movement and thermal variation. They help prevent cracks while improving building energy efficiency. Ideal for roofs, walls, and concrete expansion joints in residential and industrial structures.",expansion boards;insulation boards;construction materials,Durable;Thermal resistant;Lightweight,Expansion joints;Roofs;Concrete structures,product1.jpg
Backer Rods / Thermal Insulators,CD-P02,Joint backing and insulation materials,"Flexible backer rods control sealant depth and improve joint durability, while thermal insulators reduce heat transfer in buildings. Together they enhance sealing performance and energy efficiency. Widely used in glazing, façade joints, and insulated construction systems.",backer rods;thermal insulation;joint sealing,Flexible;Moisture resistant;Energy efficient,Doors;Windows;Industrial buildings,product2.jpg
Light Weight Filling Material,CD-P03,Low density construction filler,"A low-density filling material used to reduce structural dead load without compromising strength. It provides excellent thermal and sound insulation properties. Commonly used in sunken slabs, roof fillings, and lightweight construction applications.",lightweight filler;roof filling;construction material,Low density;Thermal insulation;Sound absorption,Roofs;Sunken slabs;Floor leveling,product3.jpg
Water Stoppers,CD-P04,PVC water sealing system,"Durable PVC water stoppers designed to prevent water leakage through construction and expansion joints. They are essential in water-retaining and underground structures. Provides long-lasting waterproof protection in basements, tanks, and dams.",water stopper;leak prevention;joint sealing,Flexible;Waterproof;Long lasting,Basements;Water tanks;Dams,product4.jpg
Concrete/Mortar Waterproofing Admixtures,CD-P05,Integral waterproofing compound,"Integral waterproofing compounds that reduce permeability when added to concrete or mortar. They enhance durability and protect structures from water damage over time. Ideal for foundations, slabs, tanks, and moisture-exposed construction.",waterproof admixture;concrete additive;construction chemical,Reduces permeability;Improves strength;Easy mixing,Concrete slabs;Foundations;Tanks,product5.jpg
Acrylic/Polymer Crack Filler,CD-P06,Flexible crack repair compound,"A ready-to-use polymer-based filler designed to seal surface cracks and prevent water ingress. It remains flexible and weather-resistant after curing. Suitable for walls, terraces, and concrete repair works.",crack filler;polymer repair;wall crack solution,Flexible;Weather resistant;Easy application,Walls;Terraces;Concrete surfaces,product6.jpg
Mould Release Agents / Curing Compounds,CD-P07,Concrete surface treatment chemicals,"Mould release agents ensure smooth demoulding of concrete surfaces, while curing compounds retain moisture for proper hydration. Together they improve surface finish and concrete strength. Used extensively in precast and on-site concrete works.",mould release;curing compound;concrete finishing,Smooth finish;Moisture retention;Improves durability,Concrete casting;Precast units;Floors,product7.jpg
Polymer Modified Repair Mortars,CD-P08,High strength repair mortar,"High-strength repair mortars enhanced with polymers for superior bonding and durability. Designed for restoring damaged concrete structures and surfaces. Ideal for beams, columns, slabs, and rehabilitation projects.",repair mortar;polymer mortar;concrete repair,High strength;Excellent bonding;Durable,Beams;Columns;Bridges,product8.jpg
Polymer Modified Water Resistant and Bonding Agents,CD-P09,Concrete bonding and waterproof agent,"Advanced bonding agents that improve adhesion between old and new concrete surfaces. They also enhance water resistance and reduce shrinkage cracks. Commonly used in repair, plastering, and floor topping works.",bonding agent;water resistant;construction chemical,Strong adhesion;Reduces shrinkage;Improves durability,Concrete repairs;Floor toppings;Plaster bonding,product9.jpg
Acrylic and Polymer Modified Flexible Waterproofing Membrane,CD-P10,Flexible waterproof coating,"A seamless, flexible waterproof coating that protects surfaces from moisture penetration. It accommodates minor structural movement without cracking. Suitable for terraces, bathrooms, balconies, and wet areas.",waterproof membrane;acrylic coating;roof waterproofing,Flexible;Seamless;UV resistant,Roofs;Bathrooms;Balconies,product10.jpg
Self Adhesive Waterproofing / Thermal Insulation / Sound Proof Membrane,CD-P11,Self-adhesive protective membrane,"Multi-functional peel-and-stick membrane offering waterproofing, thermal insulation, and sound reduction. Easy to install with strong adhesion to most surfaces. Ideal for roofs, basements, and foundation protection.",self adhesive membrane;waterproof sheet;insulation membrane,Easy installation;High adhesion;Multi protection,Basements;Roofs;Foundations,product11.jpg
 Expanding Grout Admixtures,CD-P12,Non-shrink expanding grout,Specialized expanding grout admixtures designed for precision grouting beneath base plates and foundations. They ensure void-free filling and strong load transfer. Used in machinery foundations and structural supports.,expanding grout;grouting material;base plate grout,Non-shrink;High flow;High strength,Machine foundations;Columns;Equipment bases,product12.jpg
 Non-shrink Free Flow Grouts,CD-P13,High performance precision grout,High-performance non-shrink grouts that maintain volume and provide superior strength. They flow easily into gaps for effective structural support. Suitable for heavy equipment bases and industrial applications.,non shrink grout;precision grout;cement grout,High strength;Free flow;Durable,Heavy machinery;Industrial bases;Foundations,product13.jpg
 Tile Fixing / Tile Over Tile Laying Adhesives,CD-P14,High strength tile adhesive,"Polymer-modified tile adhesives providing strong, long-lasting bonding for wall and floor tiles. Can be applied over existing tiles in renovation projects. Suitable for kitchens, bathrooms, and exterior tiling.",tile adhesive;tile fixing;construction adhesive,Strong grip;Water resistant;Easy workability,Floors;Walls;Bathrooms;Kitchens,product14.jpg
Waterproofed Filler Materials,CD-P15,Moisture resistant filler compound,"Moisture-resistant filler materials designed to seal joints, gaps, and voids in construction. They prevent water penetration and enhance durability. Used in repair and waterproofing systems.",waterproof filler;joint filler;construction material,Water resistant;Durable;Easy application,Joints;Gaps;Concrete surfaces,product15.jpg
Bonding Agents / Repair Mortars,CD-P16,Concrete bonding and repair system,A comprehensive range of bonding agents and repair mortars for structural rehabilitation. They improve adhesion and restore the integrity of damaged concrete. Suitable for both residential and industrial repair works.,bonding agent;repair mortar;construction repair,Strong bond;High strength;Durable,Structural repairs;Concrete surfaces;Buildings,product16.jpg
 Anti-Skid / Smooth Top Self-leveling Epoxy Floorings,CD-P17,Epoxy flooring system,"Durable epoxy flooring systems available in anti-skid and smooth self-leveling finishes. Resistant to chemicals, abrasion, and heavy traffic. Ideal for hospitals, factories, parking areas, and clean rooms.",epoxy flooring;anti skid floor;industrial floor,Chemical resistant;Smooth finish;Heavy duty,Factories;Hospitals;Parking areas,product17.jpg
Industrial Flooring Systems,CD-P18,Heavy duty industrial flooring,"Heavy-duty flooring systems designed for industrial environments with high load and traffic. Provides excellent strength, durability, and easy maintenance. Used in warehouses, workshops, and production areas.",industrial flooring;heavy duty floor;factory flooring,High strength;Abrasion resistant;Long lasting,Warehouses;Workshops;Production areas,product18.jpg
 Protective / Chemical Resistant Coating,CD-P19,Surface protection coating,"Specialized coatings that protect surfaces from corrosion, chemicals, and moisture. They extend the service life of structures in harsh environments. Ideal for plants, storage tanks, and industrial floors.",protective coating;chemical resistant;surface protection,Corrosion resistant;Durable;Waterproof,Factories;Plants;Storage tanks,product19.jpg
Polyurethane / Polysulphide / Acrylic / Silicon Sealants,CD-P20,Multi-purpose joint sealants,"A wide range of sealants designed for expansion joints, glazing, and perimeter sealing. They provide flexibility, weather resistance, and long-term performance. Suitable for doors, windows, façades, and structural joints.",sealants;joint sealing;construction sealant,Flexible;Weather resistant;Durable,Windows;Doors;Expansion joints,product20.jpg
Anchor Grouts,CD-P21,High strength anchoring grout,High-strength grouts used for anchoring bolts and structural elements into concrete. They provide strong load transfer and long-term stability. Ideal for machinery foundations and structural anchoring.,anchor grout;bolt anchoring;construction grout,High strength;Non-shrink;Durable,Structural anchoring;Machinery bases;Foundations,product21.jpg
Roofing Insulation,CD-P22,Thermal roof insulation system,"Efficient roofing insulation materials that reduce heat transfer and improve indoor comfort. They enhance energy efficiency and building performance. Suitable for residential, commercial, and industrial roofs.",roof insulation;thermal barrier;energy saving,Lightweight;Thermal resistant;Durable,Roofs;Industrial sheds;Homes,product22.jpg
